Date,text,DataSource,Polarity,SentimentScore,Sentiment
27-11-2017 21:07,"b""@JohnFruehe Hi @JohnFruehe. They don't. It is only allowed if you have a host TiVo BOLT VOX and a TiVo Mini VOX.""",SocialMedia,0,3,Neutral
20-11-2017 18:45,b'What movies are you asking your #TiVo to play? #TalkToTheVOX https://t.co/pDF9yhn8Ms',SocailMedia,0,3,Neutral
14-11-2017 17:15,"b""What's your favorite way to #TalkToTheVOX? Get inspired but some of our fans' favorite searches! https://t.co/Jd8XQ55pZ3""",SocailMedia,0.5625,5,Very Positive
13-11-2017 18:45,b'Have you heard about our awesome voice remote? @Mashable has all the deets on our new VOX lineup.\xe2\x80\xa6 https://t.co/r9qJglQsQa',SocailMedia,0.345454545,4,Positive
10-11-2017 15:20,b'TiVo finds its voice with new VOX products: https://t.co/kZasFZeF5p via @MultiNews #TalkToTheVOX',SocialMedia,0.136363636,3,Neutral
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
10-11-2017," TiVo Bolt VOX dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
