Date,text,DataSource,Polarity,SentimentScore,Sentiment
26-11-2017," TiVo Bolt Hydra UI dramatically improved my TV experience, Excellent",Amazon,0.75,5,Very Positive
20-10-2017,TiVo Bolt Hydra UI is good,Amazon,0.45,4,Positive
20-10-2017,TiVo Bolt Hydra UI is good,Amazon,0.45,4,Positive
20-10-2017,TiVo Bolt Hydra UI is good,Amazon,0.45,4,Positive
20-10-2017,TiVo Bolt Hydra UI is good,Amazon,0.45,4,Positive
20-10-2017,TiVo Bolt Hydra UI is good,Amazon,0.45,4,Positive
20-10-2017,TiVo Bolt Hydra UI is good,Amazon,0.45,4,Positive
20-10-2017,TiVo Bolt Hydra UI is good,Amazon,0.45,4,Positive
20-10-2017,TiVo Bolt Hydra UI is good,Amazon,0.45,4,Positive
20-10-2017,TiVo Bolt Hydra UI is good,Amazon,0.45,4,Positive
20-10-2017,TiVo Bolt Hydra UI is good,Amazon,0.45,4,Positive
20-10-2017,TiVo Bolt Hydra UI is good,Amazon,0.45,4,Positive
20-10-2017,TiVo Bolt Hydra UI is good,Amazon,0.45,4,Positive
20-10-2017,TiVo Bolt Hydra UI is just ok,Amazon,0.212,3,Neutral
20-10-2017,TiVo Bolt Hydra UI is just ok,Amazon,0.212,3,Neutral
20-10-2017,TiVo Bolt Hydra UI is just ok,Amazon,0.212,3,Neutral
20-10-2017,TiVo Bolt Hydra UI is just ok,Amazon,0.212,3,Neutral
20-10-2017,TiVo Bolt Hydra UI is just ok,Amazon,0.212,3,Neutral
20-10-2017,TiVo Bolt Hydra UI is just ok,Amazon,0.212,3,Neutral
20-10-2017,TiVo Bolt Hydra UI is just ok,Amazon,0.212,3,Neutral
20-10-2017,TiVo Bolt Hydra UI is just ok,Amazon,0.212,3,Neutral
20-10-2017,TiVo Bolt Hydra UI is just ok,Amazon,0.212,3,Neutral
20-10-2017,TiVo Bolt Hydra UI is just ok,Amazon,0.212,3,Neutral
20-10-2017,TiVo Bolt Hydra UI is just ok,Amazon,0.212,3,Neutral
20-10-2017,TiVo Bolt Hydra UI is just ok,Amazon,0.212,3,Neutral
20-10-2017,TiVo Bolt Hydra UI is just ok,Amazon,0.212,3,Neutral
20-10-2017,TiVo Bolt Hydra UI is just ok,Amazon,0.212,3,Neutral
